OBJECTID,StationName,Code,State,City,Address1,StationAliases,lon,lat,Opened,Closed
4,"Aberdeen, MD",ABE,MD,Aberdeen,18 East Bel Air Avenue, ,-76.16326,39.508447,1898,
5,"Absecon, NJ",ABN,NJ,Absecon,Shore Road and Ohio Avenue, ,-74.501475,39.424041,,
25,"Albany, OR",ALY,OR,Albany,110 10th Avenue SW, ,-123.102774,44.630464,1977,
16,"Albany-Rensselaer, NY",ALB,NY,Rensselaer,525 East Street, ,-73.741147,42.641029,1968,
19,"Albion, MI",ALI,MI,Albion,300 North Eaton Street, ,-84.755814,42.247196,1882,
6,"Albuquerque, NM",ABQ,NM,Albuquerque,320 1st Street SW, ,-106.647975,35.082061,,
37,"Aldershot, ON",AST,ON,Aldershot,1199 Waterdown Road, ,-79.855712,43.313413,,
18,"Alderson, WV",ALD,WV,Alderson,1 C&O Plaza on Railroad Avenue, ,-80.644856,37.724277,,
24,"Alexandria, VA",ALX,VA,Alexandria,110 Callahan Drive, ,-77.06233,38.806503,,
17,"Alliance, OH",ALC,OH,Alliance,820 East Main Street, ,-81.092904,40.921275,,
22,"Alpine, TX",ALP,TX,Alpine,102 West Holland Avenue, ,-103.661513,30.357302,,
21,"Alton, IL",ALN,IL,Alton,1 Golf Road, ,-90.157298,38.921007,,
23,"Altoona, PA",ALT,PA,Altoona,1231 11th Avenue, ,-78.40162,40.514475,,
26,"Amsterdam, NY",AMS,NY,Amsterdam,466 West Main Street, ,-74.2195,42.953719,,
27,"Anaheim, CA",ANA,CA,Anaheim,2626 East Katella Avenue, ,-117.877308,33.803803,,
30,"Ann Arbor, MI",ARB,MI,Ann Arbor,325 Depot Street, ,-83.743154,42.287692,,
40,"Anniston, AL",ATN,AL,Anniston,126 West 4th Street, ,-85.832145,33.649112,,
7,"Antioch-Pittsburg, CA",ACA,CA,Antioch,100 I Street,Pittsburg,-121.816024,38.0177,,
9,"Arcadia, MO",ACD,MO,Arcadia,13700 Highway 21, ,-90.624403,37.592161,,
11,"Ardmore, OK",ADM,OK,Ardmore,251 East Main Street, ,-97.12551,34.172465,,
32,"Ardmore, PA",ARD,PA,Ardmore,39 Station Avenue, ,-75.290399,40.008278,,
33,"Arkadelphia, AR",ARK,AR,Arkadelphia,798 South 5th Street, ,-93.053284,34.113919,,
14,"Ashland, KY",AKY,KY,Ashland,99 15th Street, ,-82.639603,38.480875,,
36,"Ashland, VA",ASD,VA,Ashland,112 North Railroad Avenue, ,-77.481304,37.759596,,
41,"Atco, NJ",ATO,NJ,Atco,Cooper Road and Raritan Avenue, ,-74.907893,39.783504,,
39,"Atlanta, GA",ATL,GA,Atlanta,"1688 Peachtree Street, NW",Peachtree,-84.392477,33.799445,,
10,"Atlantic City, NJ",ACY,NJ,Atlantic City,1 Atlantic City Expressway, ,-74.439903,39.362689,,
34,"Auburn, CA",ARN,CA,Auburn,277 Nevada Street, ,-121.083187,38.903638,,
43,"Austin, TX",AUS,TX,Austin,250 North Lamar Boulevard, ,-97.75694,30.269449,,
63,"Bakersfield, CA",BFD,CA,Bakersfield,601 Truxtun Avenue, ,-119.00821,35.37214,,
46,"Baltimore, MD",BAL,MD,Baltimore,1500 North Charles Street,Penn Station,-76.615688,39.307302,,
47,"Bangor, MI",BAM,MI,Bangor,541 Railroad Street, ,-86.111646,42.314519,,
49,"Barstow, CA",BAR,CA,Barstow,685 North First Avenue, ,-117.025435,34.90482,,
95,"Battle Creek, MI",BTL,MI,Battle Creek,119 McCamly Street South, ,-85.187825,42.318453,,
78,"Beaumont, TX",BMT,TX,Beaumont,2555 West Cedar Street, ,-94.127367,30.076458,,
59,"Bellingham, WA",BEL,WA,Bellingham,401 Harris Avenue, ,-122.511255,48.720263,,
74,"Bellows Falls, VT",BLF,VT,Bellows Falls,54 Depot Street, ,-72.444597,43.13654,,
60,"Benson, AZ",BEN,AZ,Benson,105 East 4th Street, ,-110.296904,31.968758,,
73,"Berkeley, CA",BKY,CA,Berkeley,700 University Avenue, ,-122.300707,37.867254,,
61,"Berlin, CT",BER,CT,Berlin,51 Depot Road, ,-72.765274,41.635595,,
82,"Bingen-White Salmon, WA",BNG,WA,Bingen,Highway 14 and Walnut Street,"White Salmon,Hood River,Dalles,The Dalles",-121.46873,45.71502,,
67,"Birmingham, AL",BHM,AL,Birmingham,1801 Morris Avenue, ,-86.807023,33.512937,,
84,"Bloomington-Normal, IL",BNL,IL,Normal,11 Uptown Circle, ,-88.984306,40.50901,,
52,"Boston, MA",BBY,MA,Boston,145 Dartmouth Street,"Boston,Back Bay,westwood",-71.075828,42.347317,,
