"State and Local General Expenditures, Per Capita, FY 2007",,,,
State,Total,Highways,Population (thousands),
AL,"6,593    ",420    ,"4,673    ",
AR,"5,975    ",405    ,"2,849    ",
AZ,"6,365    ",438    ,"6,168    ",
CA,"8,749    ",391    ,"36,250    ",
CO,"6,953    ",445    ,"4,804    ",
CT,"8,066    ",343    ,"3,527    ",
DC,"14,781    ",182    ,574    ,
DE,"8,895    ",551    ,872    ,
FL,"7,118    ",533    ,"18,368    ",
GA,"6,810    ",689    ,"9,350    ",
IA,"7,213    ",621    ,"2,999    ",
ID,"5,928    ",519    ,"1,505    ",
IL,"7,186    ",524    ,"12,696    ",
IN,"6,601    ",381    ,"6,380    ",
KS,"6,956    ",597    ,"2,784    ",
KY,"6,369    ",554    ,"4,257    ",
LA,"7,915    ",506    ,"4,376    ",
MA,"8,487    ",353    ,"6,432    ",
MD,"7,568    ",488    ,"5,653    ",
ME,"7,581    ",548    ,"1,327    ",
MI,"6,968    ",379    ,"10,001    ",
MN,"7,863    ",615    ,"5,207    ",
MO,"6,197    ",503    ,"5,888    ",
MS,"7,558    ",641    ,"2,928    ",
MT,"6,889    ",756    ,965    ,
NC,"6,393    ",365    ,"9,118    ",
ND,"7,215    ",905    ,653    ,
NE,"6,994    ",565    ,"1,783    ",
NH,"6,448    ",472    ,"1,313    ",
NJ,"8,636    ",405    ,"8,678    ",
NM,"8,139    ",665    ,"1,990    ",
NV,"6,624    ",688    ,"2,601    ",
NY,"10,695    ",493    ,"19,132    ",
OH,"7,355    ",409    ,"11,500    ",
OK,"6,250    ",478    ,"3,634    ",
OR,"7,085    ",523    ,"3,722    ",
PA,"7,294    ",552    ,"12,564    ",
RI,"8,099    ",344    ,"1,057    ",
SC,"7,008    ",313    ,"4,444    ",
SD,"6,301    ",924    ,792    ,
TN,"5,851    ",370    ,"6,176    ",
TX,"6,187    ",490    ,"23,832    ",
UT,"6,447    ",450    ,"2,598    ",
VA,"6,856    ",387    ,"7,751    ",
VT,"8,456    ",699    ,623    ,
WA,"7,659    ",545    ,"6,462    ",
WI,"7,217    ",572    ,"5,611    ",
WV,"6,419    ",574    ,"1,834    ",
WY,"11,291    ","1,110    ",535    ,
,,,,
