"State and Local General Expenditures, Per Capita, FY 2009",,,
State,Total,Highways,Population (thousands)
AL.................................................................................,"7,371    ",484    ,"4,758    "
AR.................................................................................,"6,247    ",434    ,"2,897    "
AZ.................................................................................,"6,905    ",475    ,"6,343    "
CA.................................................................................,"9,316    ",412    ,"36,961    "
CO.................................................................................,"7,548    ",508    ,"4,972    "
CT.................................................................................,"8,998    ",413    ,"3,562    "
DC.................................................................................,"17,118    ",681    ,592    
DE.................................................................................,"9,191    ",717    ,892    
FL.................................................................................,"7,421    ",527    ,"18,653    "
GA.................................................................................,"6,679    ",340    ,"9,621    "
IA.................................................................................,"8,289    ",692    ,"3,033    "
ID.................................................................................,"6,603    ",570    ,"1,554    "
IL.................................................................................,"7,946    ",592    ,"12,797    "
IN.................................................................................,"7,053    ",455    ,"6,459    "
KS.................................................................................,"8,040    ",666    ,"2,833    "
KY.................................................................................,"7,042    ",499    ,"4,317    "
LA.................................................................................,"9,551    ",785    ,"4,492    "
MA.................................................................................,"9,160    ",395    ,"6,518    "
MD.................................................................................,"8,415    ",524    ,"5,730    "
ME.................................................................................,"8,180    ",581    ,"1,330    "
MI.................................................................................,"7,350    ",399    ,"9,902    "
MN.................................................................................,"8,874    ",670    ,"5,281    "
MO.................................................................................,"6,932    ",525    ,"5,961    "
MS.................................................................................,"7,836    ",530    ,"2,959    "
MT.................................................................................,"7,609    ",848    ,984    
NC.................................................................................,"6,963    ",348    ,"9,450    "
ND.................................................................................,"8,238    ","1,056    ",665    
NE.................................................................................,"7,827    ",698    ,"1,813    "
NH.................................................................................,"7,090    ",518    ,"1,316    "
NJ.................................................................................,"9,325    ",425    ,"8,756    "
NM.................................................................................,"9,272    ",692    ,"2,037    "
NV.................................................................................,"6,993    ",638    ,"2,685    "
NY.................................................................................,"11,550    ",535    ,"19,307    "
OH.................................................................................,"7,738    ",428    ,"11,529    "
OK.................................................................................,"6,882    ",569    ,"3,718    "
OR.................................................................................,"8,028    ",485    ,"3,809    "
PA.................................................................................,"8,024    ",679    ,"12,667    "
RI.................................................................................,"8,489    ",277    ,"1,054    "
SC.................................................................................,"7,550    ",293    ,"4,590    "
SD.................................................................................,"7,130    ",930    ,807    
TN.................................................................................,"6,385    ",415    ,"6,306    "
TX.................................................................................,"7,017    ",433    ,"24,802    "
UT.................................................................................,"7,258    ",607    ,"2,723    "
VA.................................................................................,"7,334    ",432    ,"7,926    "
VT.................................................................................,"9,112    ",782    ,625    
WA.................................................................................,"8,612    ",616    ,"6,667    "
WI.................................................................................,"7,901    ",622    ,"5,669    "
WV.................................................................................,"7,107    ",695    ,"1,848    "
WY.................................................................................,"13,380    ","1,301    ",560    
,,,
