State,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AL,291821,297835,302792,296135,284127,247544,236324,237326,243354,249156,252821,257838,260476,263487,266798,268948,258328,264500,273897,280961
AR,203888,201052,198825,189340,182476,164105,160091,159353,155561,152566,154126,154876,154774,157305,160597,162214,154922,157204,162482,162833
AZ,176718,182097,187057,182177,173225,153020,147913,149514,154526,155071,156530,157512,159022,162655,169999,177939,177467,182247,192210,194739
CA,1517533,1498497,1495034,1452100,1414056,1275752,1234647,1238307,1245774,1246297,1264116,1284298,1294763,1303552,1320070,1322456,1263785,1277561,1335798,1329620
CO,154978,151005,149547,147154,144566,130021,125867,129539,132352,133021,136567,141196,142766,144437,147643,150463,146833,149013,153349,151527
CT,197237,195452,193903,191439,187376,171429,165844,166506,165432,164070,159852,159226,156719,159198,160823,162230,154161,153222,156870,157938
DC,6835,6347,5763,5609,5551,5278,5068,4734,4370,4330,4263,4175,4294,4347,4368,4275,2913,2893,3910,3866
DE,34563,33181,33245,33191,31649,27924,26136,25655,25744,25348,25672,27033,25735,25928,27077,27298,25520,24962,26227,26818
FL,388948,399263,402317,388283,370780,323857,307499,311263,316763,321962,331059,342380,354863,363137,371590,383956,376070,388057,408340,420948
GA,448285,449805,447903,430962,408386,358065,343111,349046,351857,355502,364738,375418,385905,395918,406820,404088,382941,391943,411898,424399
IA,223129,229121,231162,229643,227397,202863,200787,206069,210539,214321,216853,216167,213752,215910,222586,226152,216615,218148,223595,226384
ID,61688,62961,65981,66274,62935,54765,53124,54512,56518,59185,59869,61589,63795,66056,67792,68404,67700,70198,72709,74096
IL,699893,692263,686551,678906,662154,581208,564053,576699,585261,581211,581141,582196,575596,576928,588242,587985,556814,556399,573372,580341
IN,572138,571708,565682,550158,521546,442269,448191,464159,481845,491752,507191,518900,522596,531312,541836,541099,504460,524614,541117,533050
KS,176504,180240,182714,185755,187151,167057,159771,161146,162678,162951,162391,161244,160301,161517,165056,167196,158784,160731,169071,173226
KY,263648,262098,260876,255294,245207,213308,209130,212496,222962,228352,234655,241345,248061,250180,251454,252626,235564,242963,251783,256515
LA,152318,151811,152111,157460,152595,142223,137304,139675,141783,143958,147110,143793,135882,134692,135523,137744,131446,129093,134399,139263
MA,313351,305548,299389,295376,286470,258913,254493,253948,251951,250526,250300,249084,245759,244647,245091,244258,229741,232786,238535,237152
MD,142984,140499,136253,131598,128415,118658,114873,113033,108957,106453,103431,103757,103586,106864,109683,112273,108500,110636,112656,113907
ME,67331,65749,64380,63487,62966,56816,55243,55341,55397,54965,54861,55647,55992,56400,57555,59212,56716,60254,60496,59671
MI,695494,677960,649203,620708,575779,465011,475352,509822,535815,554477,576576,585649,599847,615106,627751,625676,554767,585798,603414,613229
MN,342668,347068,345757,341255,335389,300102,292031,300802,305518,307169,311897,317292,317501,319035,321908,324018,309006,313043,323724,325880
MO,312094,308890,306961,299679,289080,255135,243034,246220,248539,252724,255930,261329,263315,265864,273164,277105,266453,270835,282257,286775
MS,179789,178602,175949,169672,160125,141435,136285,135627,137279,137251,139956,142188,143566,144496,145270,147251,139995,144436,148705,145052
MT,19159,19508,20168,20430,19900,17402,16383,16845,17515,18341,18879,19113,19497,19893,20560,20972,20421,21303,22025,217442
NC,579908,569146,553483,538140,515438,448407,431622,434767,439618,442519,448715,461030,464586,467306,474932,477086,452637,464007,473254,469557
ND,24589,25903,26009,26043,26661,23810,22548,23747,25158,25410,26053,25420,24558,24680,25906,26545,25259,26146,27540,28483
NE,100647,101337,101484,101137,101414,93276,91605,93579,94990,96447,97420,97286,96882,98082,99807,99914,97530,99519,103392,104835
NH,80057,80081,78363,77760,75938,68054,65764,66575,65950,65942,66451,67195,68098,68971,70582,71459,67282,67845,69945,70310
NJ,335381,326233,321825,311409,298217,265348,255933,251529,243960,241443,240292,236027,240710,242476,245593,249464,235850,239168,248699,252317
NM,35870,36306,37659,37062,35035,30013,29026,29557,29652,29083,27982,27788,26830,26398,27145,28514,27201,27691,28975,28685
NV,45923,47806,50252,50333,48098,40192,37895,38177,39219,40536,41456,42106,43494,47800,55405,59279,55673,59980,64859,65892
NY,593567,579094,564564,551868,532100,474712,455697,456703,456739,454028,450225,452553,447496,444186,441593,437041,399337,406435,419898,418702
OH,823048,811894,795610,771360,738817,629438,620308,637625,656325,662544,674229,685983,685092,685952,698960,700796,653038,665733,683155,687354
OK,142909,145263,149804,151051,151110,129974,123483,131984,137285,137585,140656,138334,130227,129726,139512,142596,132949,130395,134894,140666
OR,199247,203232,206697,203300,194774,166578,163201,167591,171333,174642,179059,185456,187663,189318,194693,197626,184947,186372,192306,189749
PA,692410,682844,672918,659378,645264,575732,561114,565407,567551,564163,567794,568095,559318,562435,570471,575468,538156,544324,564392,566900
RI,56914,55022,52736,50811,47930,41756,40347,40351,39640,40058,40854,41190,40471,40383,40377,39765,37415,39070,40178,40395
SC,267430,262717,253813,249453,242177,213838,207804,215114,220086,224512,230154,235856,238103,240457,249720,258254,244397,249687,261194,263082
SD,38849,39833,41395,41932,42695,37707,36960,39204,41176,41523,42389,42593,42157,43081,44442,44972,43135,43812,45101,45302
TN,410864,408292,399213,380077,360284,309369,298327,303781,313530,318541,324838,332382,342573,348418,351074,354962,334973,349015,364264,363964
TX,892930,903581,930130,938504,927076,841378,814192,840121,867689,877454,890363,881224,848154,854351,882330,908802,870754,877227,928169,958024
UT,113917,116413,122215,126858,125009,112042,110234,112850,115825,117901,119845,122873,125048,128365,132149,136085,135571,144840,150788,152075
VA,306599,303504,296109,286517,272764,246803,238210,239390,240818,240402,241040,243015,242124,243933,249936,253673,243850,246943,252757,254870
VT,36975,36843,36233,35916,34997,31218,30799,30899,31894,31712,31200,30897,29985,29550,29827,30091,28176,28664,29115,28499
WA,10128,10236,10291,10165,10427,10973,11079,11376,11293,11505,12148,13675,14087,14216,14527,14936,15068,14510,14246,14444
WI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,261,NULL,218,240,230
WV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,1,1,1,1
